city,orders_base,orders_decl,orders_base_per_day,orders_decl_per_day,change_per_day
"Piplod,Surat",45.0,0.0,0.9183673469387755,0.0,-0.9183673469387755
Medinipur,42.0,0.0,0.8571428571428571,0.0,-0.8571428571428571
"GTB Nagar,Delhi",247.0,386.0,5.040816326530612,4.195652173913044,-0.8451641526175679
Guna,40.0,0.0,0.8163265306122449,0.0,-0.8163265306122449
Bhimavaram,38.0,0.0,0.7755102040816326,0.0,-0.7755102040816326
Faridabad,190.0,289.0,3.877551020408163,3.141304347826087,-0.7362466725820762
"Kondhwa,Pune",132.0,187.0,2.693877551020408,2.032608695652174,-0.6612688553682342
"Greater Mohali,Chandigarh",32.0,0.0,0.6530612244897959,0.0,-0.6530612244897959
Suratgarh,32.0,4.0,0.6530612244897959,0.043478260869565216,-0.6095829636202307
"Salt Lake,Kolkata",26.0,0.0,0.5306122448979592,0.0,-0.5306122448979592
"Nigdi,Pune",27.0,2.0,0.5510204081632653,0.021739130434782608,-0.5292812777284827
Nizamabad,48.0,45.0,0.9795918367346939,0.4891304347826087,-0.49046140195208515
"Rohini,Delhi",94.0,133.0,1.9183673469387754,1.4456521739130435,-0.47271517302573196
"West Chd,Chandigarh",71.0,90.0,1.4489795918367347,0.9782608695652174,-0.47071872227151734
Bhind,23.0,0.0,0.46938775510204084,0.0,-0.46938775510204084
Neyveli,22.0,0.0,0.4489795918367347,0.0,-0.4489795918367347
Kalady,22.0,0.0,0.4489795918367347,0.0,-0.4489795918367347
"Vadapalani,Chennai",22.0,0.0,0.4489795918367347,0.0,-0.4489795918367347
"Kirti Nagar,Delhi",23.0,2.0,0.46938775510204084,0.021739130434782608,-0.44764862466725824
"Central Kolkata,Kolkata",85.0,119.0,1.7346938775510203,1.2934782608695652,-0.44121561668145515
Kamareddy,21.0,0.0,0.42857142857142855,0.0,-0.42857142857142855
Jaunpur,38.0,34.0,0.7755102040816326,0.3695652173913043,-0.4059449866903283
Sitapur,19.0,0.0,0.3877551020408163,0.0,-0.3877551020408163
Bardhaman,24.0,10.0,0.4897959183673469,0.10869565217391304,-0.3811002661934339
"Greater Kailash 2,Delhi",106.0,165.0,2.163265306122449,1.7934782608695652,-0.369787045252884
Virudhunagar,17.0,0.0,0.3469387755102041,0.0,-0.3469387755102041
"Navrangpura,Ahmedabad",20.0,6.0,0.40816326530612246,0.06521739130434782,-0.3429458740017746
Gorakhpur,16.0,0.0,0.32653061224489793,0.0,-0.32653061224489793
Nirmal,16.0,0.0,0.32653061224489793,0.0,-0.32653061224489793
Kopargaon,23.0,16.0,0.46938775510204084,0.17391304347826086,-0.29547471162378
Ranaghat-wb,16.0,3.0,0.32653061224489793,0.03260869565217391,-0.29392191659272404
"Banjara Hills,Hyderabad",37.0,43.0,0.7551020408163265,0.4673913043478261,-0.28771073646850037
"BTM,Bangalore",140.0,237.0,2.857142857142857,2.5760869565217392,-0.28105590062111796
"Indirapuram,Delhi",52.0,72.0,1.0612244897959184,0.782608695652174,-0.2786157941437445
Visnagar,13.0,0.0,0.2653061224489796,0.0,-0.2653061224489796
"Dwarka Nagar,Vizag",17.0,8.0,0.3469387755102041,0.08695652173913043,-0.25998225377107365
"Medavakkam,Chennai",85.0,138.0,1.7346938775510203,1.5,-0.23469387755102034
Allahabad,11.0,0.0,0.22448979591836735,0.0,-0.22448979591836735
"Lulu Mall,Kochi",11.0,0.0,0.22448979591836735,0.0,-0.22448979591836735
"Kothrud,Pune",127.0,218.0,2.5918367346938775,2.369565217391304,-0.22227151730257333
Tinsukia,24.0,25.0,0.4897959183673469,0.2717391304347826,-0.21805678793256433
"Kondapur,Hyderabad",72.0,116.0,1.469387755102041,1.2608695652173914,-0.20851818988464954
"Malviya Nagar,Delhi",56.0,86.0,1.1428571428571428,0.9347826086956522,-0.20807453416149058
Rae-bareli,19.0,17.0,0.3877551020408163,0.18478260869565216,-0.20297249334516415
Bikaner,39.0,55.0,0.7959183673469388,0.5978260869565217,-0.19809228039041704
Nipani,9.0,0.0,0.1836734693877551,0.0,-0.1836734693877551
Tumakuru,9.0,0.0,0.1836734693877551,0.0,-0.1836734693877551
"Adyar,Chennai",45.0,68.0,0.9183673469387755,0.7391304347826086,-0.17923691215616688
Tuni,15.0,12.0,0.30612244897959184,0.13043478260869565,-0.1756876663708962
Kanchrapara,36.0,52.0,0.7346938775510204,0.5652173913043478,-0.16947648624667266
Dhoraji,8.0,0.0,0.16326530612244897,0.0,-0.16326530612244897
"Kukatpally,Hyderabad",54.0,87.0,1.1020408163265305,0.9456521739130435,-0.15638864241348704
"Manikonda,Hyderabad",26.0,35.0,0.5306122448979592,0.3804347826086957,-0.15017746228926354
"Gandhinagar,Ahmedabad",75.0,127.0,1.530612244897959,1.3804347826086956,-0.15017746228926354
"Gomti Nagar,Lucknow",86.0,148.0,1.7551020408163265,1.608695652173913,-0.1464063886424134
"Alipore,Kolkata",71.0,120.0,1.4489795918367347,1.3043478260869565,-0.1446317657497782
"Arumbakkam,Chennai",7.0,0.0,0.14285714285714285,0.0,-0.14285714285714285
"Bopal,Ahmedabad",7.0,0.0,0.14285714285714285,0.0,-0.14285714285714285
"Vastrapur,Ahmedabad",49.0,79.0,1.0,0.8586956521739131,-0.14130434782608692
Pondicherry,91.0,158.0,1.8571428571428572,1.7173913043478262,-0.13975155279503104
Tirupati,24.0,33.0,0.4897959183673469,0.358695652173913,-0.1311002661934339
"Chattarpur,Delhi",114.0,202.0,2.326530612244898,2.1956521739130435,-0.13087843833185442
"Sinhgad Road,Pune",33.0,50.0,0.673469387755102,0.5434782608695652,-0.12999112688553682
"Begumpet,Hyderabad",25.0,35.0,0.5102040816326531,0.3804347826086957,-0.1297692990239574
"Laxmi Nagar,Delhi",21.0,28.0,0.42857142857142855,0.30434782608695654,-0.124223602484472
"Tambaram,Chennai",6.0,0.0,0.12244897959183673,0.0,-0.12244897959183673
"Aliganj,Lucknow",87.0,153.0,1.7755102040816326,1.6630434782608696,-0.112466725820763
Bhopal,20.0,28.0,0.40816326530612246,0.30434782608695654,-0.10381543921916592
"Mulund,Mumbai",13.0,15.0,0.2653061224489796,0.16304347826086957,-0.10226264418811004
Adityapur,12.0,14.0,0.24489795918367346,0.15217391304347827,-0.0927240461401952
"Sector 15_FBD,Gurgaon",45.0,76.0,0.9183673469387755,0.8260869565217391,-0.0922803904170364
Modinagar,13.0,16.0,0.2653061224489796,0.17391304347826086,-0.09139307897071874
"Miyapur,Hyderabad",51.0,88.0,1.0408163265306123,0.9565217391304348,-0.08429458740017748
Farrukhabad,4.0,0.0,0.08163265306122448,0.0,-0.08163265306122448
Aligarh,4.0,0.0,0.08163265306122448,0.0,-0.08163265306122448
Gondia,9.0,10.0,0.1836734693877551,0.10869565217391304,-0.07497781721384207
"Rajarhat,Kolkata",17.0,26.0,0.3469387755102041,0.2826086956521739,-0.06433007985803019
"Fort Colaba,Mumbai",15.0,24.0,0.30612244897959184,0.2608695652173913,-0.045252883762200546
"Dharampeth,Nagpur",22.0,38.0,0.4489795918367347,0.41304347826086957,-0.035936113575865125
"Jasola,Delhi",7.0,10.0,0.14285714285714285,0.10869565217391304,-0.03416149068322981
"Indira Nagar,Lucknow",10.0,16.0,0.20408163265306123,0.17391304347826086,-0.030168589174800364
"Athwa,Surat",2.0,1.0,0.04081632653061224,0.010869565217391304,-0.029946761313220938
Kolhapur,3.0,3.0,0.061224489795918366,0.03260869565217391,-0.028615794143744454
"Dwarka,Delhi",3.0,4.0,0.061224489795918366,0.043478260869565216,-0.01774622892635315
"Himayath Nagar,Hyderabad",38.0,70.0,0.7755102040816326,0.7608695652173914,-0.014640638864241273
"Kumaraswamy Layout & Uttarahalli,Bangalore",1.0,1.0,0.02040816326530612,0.010869565217391304,-0.009538598047914817
"Paltan Bazaar,Guwahati",4.0,8.0,0.08163265306122448,0.08695652173913043,0.005323868677905949
"Velachery,Chennai",0.0,1.0,0.0,0.010869565217391304,0.010869565217391304
Duliajan,0.0,1.0,0.0,0.010869565217391304,0.010869565217391304
Godhra,0.0,1.0,0.0,0.010869565217391304,0.010869565217391304
Kohima,0.0,1.0,0.0,0.010869565217391304,0.010869565217391304
"Dilshad Gardens,Delhi",74.0,140.0,1.510204081632653,1.5217391304347827,0.011535048802129744
Durgapur,9.0,18.0,0.1836734693877551,0.1956521739130435,0.011978704525288375
Dhar,9.0,18.0,0.1836734693877551,0.1956521739130435,0.011978704525288375
"Uttam Nagar,Delhi",10.0,20.0,0.20408163265306123,0.21739130434782608,0.013309671694764852
"South Extension,Delhi",20.0,39.0,0.40816326530612246,0.42391304347826086,0.015749778172138407
Agartala,0.0,2.0,0.0,0.021739130434782608,0.021739130434782608
"Jagadamba Junction,Vizag",0.0,2.0,0.0,0.021739130434782608,0.021739130434782608
Dahanu,0.0,3.0,0.0,0.03260869565217391,0.03260869565217391
"sohna road,Gurgaon",37.0,73.0,0.7551020408163265,0.7934782608695652,0.03837622005323871
Siwan,6.0,15.0,0.12244897959183673,0.16304347826086957,0.040594498669032836
"Royapettah,Chennai",7.0,17.0,0.14285714285714285,0.18478260869565216,0.04192546583850931
"Vasant Kunj,Delhi",7.0,17.0,0.14285714285714285,0.18478260869565216,0.04192546583850931
"Connaught Place,Delhi",0.0,4.0,0.0,0.043478260869565216,0.043478260869565216
Fatehabad,1.0,6.0,0.02040816326530612,0.06521739130434782,0.04480922803904171
Hubli,23.0,48.0,0.46938775510204084,0.5217391304347826,0.052351375332741756
"Nizampet & Pragathi Nagar,Hyderabad",91.0,176.0,1.8571428571428572,1.9130434782608696,0.05590062111801242
"Jubilee Hills,Hyderabad",0.0,6.0,0.0,0.06521739130434782,0.06521739130434782
"T Nagar,Chennai",0.0,6.0,0.0,0.06521739130434782,0.06521739130434782
Tirupur,9.0,23.0,0.1836734693877551,0.25,0.06632653061224489
"Kadubeesanahalli,Bangalore",10.0,25.0,0.20408163265306123,0.2717391304347826,0.06765749778172137
"Zirakpur,Chandigarh",109.0,211.0,2.2244897959183674,2.2934782608695654,0.06898846495119804
"Ganeshguri,Guwahati",93.0,181.0,1.8979591836734695,1.9673913043478262,0.06943212067435667
Deoghar,6.0,18.0,0.12244897959183673,0.1956521739130435,0.07320319432120675
"PCMC,Pune",40.0,82.0,0.8163265306122449,0.8913043478260869,0.074977817213842
"GOTA,Ahmedabad",8.0,22.0,0.16326530612244897,0.2391304347826087,0.07586512866015974
"Wagholi,Pune",0.0,7.0,0.0,0.07608695652173914,0.07608695652173914
Doddaballapura,5.0,17.0,0.10204081632653061,0.18478260869565216,0.08274179236912155
Sultanpur,36.0,76.0,0.7346938775510204,0.8260869565217391,0.09139307897071869
"South Kolkata,Kolkata",12.0,31.0,0.24489795918367346,0.33695652173913043,0.09205856255545697
Meerut,112.0,219.0,2.2857142857142856,2.380434782608696,0.0947204968944102
"Perambur,Chennai",80.0,159.0,1.6326530612244898,1.7282608695652173,0.09560780834072746
"NSP,Delhi",19.0,45.0,0.3877551020408163,0.4891304347826087,0.10137533274179239
Dindigul,8.0,25.0,0.16326530612244897,0.2717391304347826,0.10847382431233363
Sirsa,0.0,10.0,0.0,0.10869565217391304,0.10869565217391304
Erode,25.0,57.0,0.5102040816326531,0.6195652173913043,0.10936113575865125
"Indiranagar,Bangalore",1.0,12.0,0.02040816326530612,0.13043478260869565,0.11002661934338953
Tiptur,0.0,11.0,0.0,0.11956521739130435,0.11956521739130435
"Arekere,Bangalore",0.0,11.0,0.0,0.11956521739130435,0.11956521739130435
Palani,0.0,12.0,0.0,0.13043478260869565,0.13043478260869565
Dhule,7.0,26.0,0.14285714285714285,0.2826086956521739,0.13975155279503104
Koppal,0.0,13.0,0.0,0.14130434782608695,0.14130434782608695
Raghunathpur,1.0,15.0,0.02040816326530612,0.16304347826086957,0.14263531499556345
Bardoli,0.0,14.0,0.0,0.15217391304347827,0.15217391304347827
Singrauli,0.0,14.0,0.0,0.15217391304347827,0.15217391304347827
Sindhanur,0.0,15.0,0.0,0.16304347826086957,0.16304347826086957
Sivakasi,7.0,29.0,0.14285714285714285,0.31521739130434784,0.172360248447205
Giridih,0.0,16.0,0.0,0.17391304347826086,0.17391304347826086
"Madipakkam,Chennai",6.0,28.0,0.12244897959183673,0.30434782608695654,0.1818988464951198
"Rajouri Garden,Delhi",31.0,76.0,0.6326530612244898,0.8260869565217391,0.1934338952972493
"Panchkula,Chandigarh",0.0,18.0,0.0,0.1956521739130435,0.1956521739130435
Kotdwar,0.0,19.0,0.0,0.20652173913043478,0.20652173913043478
Bhiwani,0.0,19.0,0.0,0.20652173913043478,0.20652173913043478
Orai,19.0,55.0,0.3877551020408163,0.5978260869565217,0.21007098491570542
Kodaikanal,0.0,22.0,0.0,0.2391304347826087,0.2391304347826087
Tadpatri,0.0,23.0,0.0,0.25,0.25
"Electronic City,Bangalore",66.0,147.0,1.346938775510204,1.5978260869565217,0.2508873114463177
Guntakal,1.0,25.0,0.02040816326530612,0.2717391304347826,0.25133096716947645
Nabadwip,0.0,24.0,0.0,0.2608695652173913,0.2608695652173913
Osmanabad,0.0,26.0,0.0,0.2826086956521739,0.2826086956521739
Kannauj,0.0,27.0,0.0,0.29347826086956524,0.29347826086956524
Pala,0.0,29.0,0.0,0.31521739130434784,0.31521739130434784
Suryapet,0.0,29.0,0.0,0.31521739130434784,0.31521739130434784
"Ramapuram,Chennai",0.0,31.0,0.0,0.33695652173913043,0.33695652173913043
Jhalawar,0.0,31.0,0.0,0.33695652173913043,0.33695652173913043
Silvassa,0.0,32.0,0.0,0.34782608695652173,0.34782608695652173
Surendranagar-dudhrej,0.0,32.0,0.0,0.34782608695652173,0.34782608695652173
"Gachibowli,Hyderabad",5.0,45.0,0.10204081632653061,0.4891304347826087,0.3870896184560781
"Ruby Area,Kolkata",6.0,48.0,0.12244897959183673,0.5217391304347826,0.39929015084294583
Kolar,0.0,37.0,0.0,0.40217391304347827,0.40217391304347827
Dahod,0.0,39.0,0.0,0.42391304347826086,0.42391304347826086
Daman,0.0,39.0,0.0,0.42391304347826086,0.42391304347826086
Palampur,0.0,43.0,0.0,0.4673913043478261,0.4673913043478261
Tadepalligudem,0.0,45.0,0.0,0.4891304347826087,0.4891304347826087
Mehsana,0.0,48.0,0.0,0.5217391304347826,0.5217391304347826
Udaipur,6.0,62.0,0.12244897959183673,0.6739130434782609,0.5514640638864241
"Bavdhan,Pune",0.0,55.0,0.0,0.5978260869565217,0.5978260869565217
Korba,0.0,56.0,0.0,0.6086956521739131,0.6086956521739131
"Narhe,Pune",15.0,85.0,0.30612244897959184,0.9239130434782609,0.617790594498669
Gaya,16.0,87.0,0.32653061224489793,0.9456521739130435,0.6191215616681456
"Kalyani Nagar,Pune",44.0,140.0,0.8979591836734694,1.5217391304347827,0.6237799467613133
"Baner,Pune",35.0,125.0,0.7142857142857143,1.358695652173913,0.6444099378881988
"Swargate,Pune",0.0,63.0,0.0,0.6847826086956522,0.6847826086956522
Nagaon,0.0,64.0,0.0,0.6956521739130435,0.6956521739130435
Bhiwadi,11.0,85.0,0.22448979591836735,0.9239130434782609,0.6994232475598935
Kannur,0.0,67.0,0.0,0.7282608695652174,0.7282608695652174
"Fort Kochi,Kochi",1.0,69.0,0.02040816326530612,0.75,0.7295918367346939
"Porur,Chennai",146.0,350.0,2.979591836734694,3.8043478260869565,0.8247559893522625
Purnea,0.0,76.0,0.0,0.8260869565217391,0.8260869565217391
"Bhawar Kuan,Indore",51.0,176.0,1.0408163265306123,1.9130434782608696,0.8722271517302573
"Kamothe,Mumbai",32.0,145.0,0.6530612244897959,1.576086956521739,0.9230257320319432
Tirunelveli,0.0,88.0,0.0,0.9565217391304348,0.9565217391304348
"Thrippunithura,Kochi",0.0,88.0,0.0,0.9565217391304348,0.9565217391304348
"Kestopur,Kolkata",0.0,90.0,0.0,0.9782608695652174,0.9782608695652174
"Kharkhana & Trimulgherry,Hyderabad",20.0,129.0,0.40816326530612246,1.4021739130434783,0.9940106477373558
Palakkad,0.0,97.0,0.0,1.0543478260869565,1.0543478260869565
Nadiad,0.0,98.0,0.0,1.065217391304348,1.065217391304348
Kota,0.0,99.0,0.0,1.076086956521739,1.076086956521739
Jhansi,0.0,108.0,0.0,1.173913043478261,1.173913043478261
"Mylapore,Chennai",9.0,126.0,0.1836734693877551,1.3695652173913044,1.1858917480035494
Ranchi,3.0,128.0,0.061224489795918366,1.391304347826087,1.3300798580301685
Guntur,0.0,144.0,0.0,1.565217391304348,1.565217391304348
"Gajuwaka,Vizag",13.0,177.0,0.2653061224489796,1.923913043478261,1.6586069210292813
"Scruz Bandra East,Mumbai",35.0,246.0,0.7142857142857143,2.6739130434782608,1.9596273291925463
"Whitefield,Bangalore",36.0,248.0,0.7346938775510204,2.6956521739130435,1.9609582963620231
"Chandkheda,Ahmedabad",1.0,186.0,0.02040816326530612,2.0217391304347827,2.001330967169477
"MVP Colony,Vizag",0.0,217.0,0.0,2.358695652173913,2.358695652173913
"Raj Nagar,Noida",0.0,224.0,0.0,2.4347826086956523,2.4347826086956523
Siliguri,11.0,247.0,0.22448979591836735,2.6847826086956523,2.460292812777285
"Mahadevpura,Bangalore",0.0,254.0,0.0,2.760869565217391,2.760869565217391
"CV Raman Nagar,Bangalore",1.0,267.0,0.02040816326530612,2.902173913043478,2.881765749778172
"JP Nagar,Bangalore",21.0,449.0,0.42857142857142855,4.880434782608695,4.4518633540372665
