user_id,recency_days,frequency,monetary,first_order,last_order,R_score,F_score,M_score,RFM_score,RFM_sum,segment
36,317,3,602898.0,2018-01-24,2019-08-15,3,5,5,355,13,Loyal / Active
37,326,3,13194.0,2018-03-06,2019-08-06,3,5,5,355,13,Loyal / Active
38,72,1,46.0,2020-04-16,2020-04-16,5,3,1,531,9,Low Engagement
39,799,3,5713.0,2017-10-09,2018-04-20,1,5,4,154,10,At Risk
41,360,2,104343.0,2018-03-09,2019-07-03,3,4,5,345,12,Loyal / Active
45,943,1,162.0,2017-11-27,2017-11-27,1,3,1,131,5,At Risk
47,597,1,7343.0,2018-11-08,2018-11-08,2,3,4,234,9,At Risk
48,326,1,9380.0,2019-08-06,2019-08-06,3,3,4,334,10,Low Engagement
49,891,1,171.0,2018-01-18,2018-01-18,1,3,1,131,5,At Risk
50,331,1,6093.0,2019-08-01,2019-08-01,3,3,4,334,10,Low Engagement
51,159,3,4926.0,2019-01-02,2020-01-20,4,5,4,454,13,Champions
52,829,1,6310.0,2018-03-21,2018-03-21,1,3,4,134,8,At Risk
56,989,1,130.0,2017-10-12,2017-10-12,1,3,1,131,5,At Risk
57,880,1,162.0,2018-01-29,2018-01-29,1,3,1,131,5,At Risk
58,74,2,412.0,2018-09-10,2020-04-14,5,4,2,542,11,Champions
59,17,3,4333.0,2018-08-13,2020-06-10,5,5,4,554,14,Champions
60,170,1,2671.0,2020-01-09,2020-01-09,4,3,3,433,10,Low Engagement
61,466,2,208.0,2018-06-18,2019-03-19,3,4,1,341,8,Loyal / Active
62,995,1,185.0,2017-10-06,2017-10-06,1,3,1,131,5,At Risk
63,355,2,135.0,2018-07-27,2019-07-08,3,4,1,341,8,Loyal / Active
66,716,2,16278.0,2018-01-15,2018-07-12,1,4,5,145,10,At Risk
67,157,2,847.0,2019-02-05,2020-01-22,4,4,2,442,10,Champions
68,534,3,8500.0,2018-02-27,2019-01-10,2,5,4,254,11,Loyal / Active
69,204,1,116.0,2019-12-06,2019-12-06,4,3,1,431,8,Low Engagement
70,451,2,85070.0,2017-10-17,2019-04-03,3,4,5,345,12,Loyal / Active
71,325,1,588.0,2019-08-07,2019-08-07,3,3,2,332,8,Low Engagement
72,614,1,431.0,2018-10-22,2018-10-22,2,3,2,232,7,At Risk
73,79,1,287.0,2020-04-09,2020-04-09,5,3,1,531,9,Low Engagement
75,885,1,1292.0,2018-01-24,2018-01-24,1,3,3,133,7,At Risk
76,780,1,1468.0,2018-05-09,2018-05-09,1,3,3,133,7,At Risk
77,957,1,4454.0,2017-11-13,2017-11-13,1,3,4,134,8,At Risk
79,256,4,13060.0,2017-12-11,2019-10-15,4,5,5,455,14,Champions
80,570,2,565.0,2018-11-06,2018-12-05,2,4,2,242,8,Loyal / Active
82,109,3,21453.0,2018-02-27,2020-03-10,5,5,5,555,15,Champions
83,358,2,343.0,2018-07-18,2019-07-05,3,4,2,342,9,Loyal / Active
84,38,2,547.0,2018-04-12,2020-05-20,5,4,2,542,11,Champions
85,360,3,366.0,2018-06-07,2019-07-03,3,5,2,352,10,Loyal / Active
87,387,4,3333.0,2017-12-20,2019-06-06,3,5,3,353,11,Loyal / Active
89,15,2,8537.0,2019-11-07,2020-06-12,5,4,4,544,13,Champions
90,926,2,44385.0,2017-11-24,2017-12-14,1,4,5,145,10,At Risk
91,221,2,5732.0,2018-04-16,2019-11-19,4,4,4,444,12,Champions
92,739,1,162.0,2018-06-19,2018-06-19,1,3,1,131,5,At Risk
93,600,3,35287.0,2017-11-08,2018-11-05,2,5,5,255,12,Loyal / Active
94,483,2,328.0,2017-11-03,2019-03-02,2,4,2,242,8,Loyal / Active
97,246,4,102227.0,2017-11-28,2019-10-25,4,5,5,455,14,Champions
98,53,1,745.0,2020-05-05,2020-05-05,5,3,2,532,10,Low Engagement
99,746,2,1885.0,2017-10-20,2018-06-12,1,4,3,143,8,At Risk
101,61,3,4704.0,2017-12-01,2020-04-27,5,5,4,554,14,Champions
102,628,3,5380.0,2017-10-23,2018-10-08,2,5,4,254,11,Loyal / Active
103,626,2,107.0,2018-04-11,2018-10-10,2,4,1,241,7,Loyal / Active
104,316,3,67653.0,2018-07-13,2019-08-16,3,5,5,355,13,Loyal / Active
107,649,1,227.0,2018-09-17,2018-09-17,2,3,1,231,6,At Risk
109,229,1,292.0,2019-11-11,2019-11-11,4,3,1,431,8,Low Engagement
110,417,5,9149.0,2017-11-16,2019-05-07,3,5,4,354,12,Loyal / Active
111,722,1,176.0,2018-07-06,2018-07-06,1,3,1,131,5,At Risk
112,556,1,292.0,2018-12-19,2018-12-19,2,3,1,231,6,At Risk
113,360,2,10546.0,2018-03-28,2019-07-03,3,4,4,344,11,Loyal / Active
115,456,1,782.0,2019-03-29,2019-03-29,3,3,2,332,8,Low Engagement
116,750,1,29356.0,2018-06-08,2018-06-08,1,3,5,135,9,At Risk
117,555,1,69.0,2018-12-20,2018-12-20,2,3,1,231,6,At Risk
118,613,1,222.0,2018-10-23,2018-10-23,2,3,1,231,6,At Risk
119,233,2,104472.0,2018-01-15,2019-11-07,4,4,5,445,13,Champions
122,53,4,1028.0,2017-12-22,2020-05-05,5,5,2,552,12,Champions
123,71,3,7380.0,2018-02-21,2020-04-17,5,5,4,554,14,Champions
124,648,1,296.0,2018-09-18,2018-09-18,2,3,1,231,6,At Risk
125,745,1,1130.0,2018-06-13,2018-06-13,1,3,3,133,7,At Risk
126,620,3,74001.0,2017-11-27,2018-10-16,2,5,5,255,12,Loyal / Active
127,39,2,505.0,2018-08-01,2020-05-19,5,4,2,542,11,Champions
128,380,2,6861.0,2019-06-07,2019-06-13,3,4,4,344,11,Loyal / Active
129,52,3,2681.0,2018-02-14,2020-05-06,5,5,3,553,13,Champions
130,561,4,1763.0,2017-11-17,2018-12-14,2,5,3,253,10,Loyal / Active
131,197,3,36249.0,2018-02-08,2019-12-13,4,5,5,455,14,Champions
132,204,2,333.0,2018-02-14,2019-12-06,4,4,2,442,10,Champions
133,575,1,56.0,2018-11-30,2018-11-30,2,3,1,231,6,At Risk
134,879,1,1264.0,2018-01-30,2018-01-30,1,3,3,133,7,At Risk
135,442,1,667.0,2019-04-12,2019-04-12,3,3,2,332,8,Low Engagement
136,842,1,74.0,2018-03-08,2018-03-08,1,3,1,131,5,At Risk
137,163,2,2176.0,2018-06-15,2020-01-16,4,4,3,443,11,Champions
139,144,2,1213.0,2018-05-25,2020-02-04,4,4,3,443,11,Champions
140,863,1,10231.0,2018-02-15,2018-02-15,1,3,4,134,8,At Risk
141,759,2,283.0,2017-10-30,2018-05-30,1,4,1,141,6,At Risk
142,745,2,352.0,2017-11-21,2018-06-13,1,4,2,142,7,At Risk
143,127,3,4287.0,2018-01-15,2020-02-21,5,5,4,554,14,Champions
144,85,2,1277.0,2019-06-21,2020-04-03,5,4,3,543,12,Champions
145,102,2,35699.0,2019-12-19,2020-03-17,5,4,5,545,14,Champions
147,464,1,34611.0,2019-03-21,2019-03-21,3,3,5,335,11,Low Engagement
148,519,1,102.0,2019-01-25,2019-01-25,2,3,1,231,6,At Risk
149,194,3,8611.0,2019-03-22,2019-12-16,4,5,4,454,13,Champions
150,514,1,17602.0,2019-01-30,2019-01-30,2,3,5,235,10,At Risk
152,745,1,500.0,2018-06-13,2018-06-13,1,3,2,132,6,At Risk
154,64,2,54541.0,2019-10-25,2020-04-24,5,4,5,545,14,Champions
155,180,2,19643.0,2019-02-13,2019-12-30,4,4,5,445,13,Champions
156,652,3,1532.0,2018-03-19,2018-09-14,2,5,3,253,10,Loyal / Active
157,227,2,46245.0,2018-11-13,2019-11-13,4,4,5,445,13,Champions
158,313,1,352.0,2019-08-19,2019-08-19,3,3,2,332,8,Low Engagement
159,449,3,12301.0,2018-09-28,2019-04-05,3,5,4,354,12,Loyal / Active
160,592,1,829.0,2018-11-13,2018-11-13,2,3,2,232,7,At Risk
161,221,2,620.0,2018-11-16,2019-11-19,4,4,2,442,10,Champions
162,403,1,181.0,2019-05-21,2019-05-21,3,3,1,331,7,Low Engagement
163,225,2,1861.0,2018-01-23,2019-11-15,4,4,3,443,11,Champions
164,331,1,1861.0,2019-08-01,2019-08-01,3,3,3,333,9,Low Engagement
165,918,2,607.0,2017-12-08,2017-12-22,1,4,2,142,7,At Risk
166,499,3,5736.0,2018-03-20,2019-02-14,2,5,4,254,11,Loyal / Active
167,571,2,857.0,2018-03-02,2018-12-04,2,4,2,242,8,Loyal / Active
168,25,2,12740.0,2018-09-05,2020-06-02,5,4,5,545,14,Champions
169,205,4,1583.0,2017-12-04,2019-12-05,4,5,3,453,12,Champions
170,313,3,3860.0,2018-06-19,2019-08-19,3,5,4,354,12,Loyal / Active
172,500,2,694.0,2018-12-07,2019-02-13,2,4,2,242,8,Loyal / Active
175,169,7,66380.0,2018-11-14,2020-01-10,4,5,5,455,14,Champions
176,54,2,8232.0,2018-02-21,2020-05-04,5,4,4,544,13,Champions
178,19,2,477.0,2020-06-03,2020-06-08,5,4,2,542,11,Champions
179,737,1,218.0,2018-06-21,2018-06-21,1,3,1,131,5,At Risk
180,781,1,6130.0,2018-05-08,2018-05-08,1,3,4,134,8,At Risk
181,74,3,413652.0,2018-11-16,2020-04-14,5,5,5,555,15,Champions
182,204,1,13889.0,2019-12-06,2019-12-06,4,3,5,435,12,Low Engagement
183,568,1,69.0,2018-12-07,2018-12-07,2,3,1,231,6,At Risk
184,213,3,6528.0,2017-12-20,2019-11-27,4,5,4,454,13,Champions
185,961,1,69.0,2017-11-09,2017-11-09,1,3,1,131,5,At Risk
186,215,2,1889.0,2019-09-27,2019-11-25,4,4,3,443,11,Champions
188,689,2,13158.0,2018-03-20,2018-08-08,2,4,5,245,11,Loyal / Active
189,192,3,458.0,2017-12-21,2019-12-18,4,5,2,452,11,Champions
190,80,1,1875.0,2020-04-08,2020-04-08,5,3,3,533,11,Low Engagement
191,639,2,7708.0,2017-10-13,2018-09-27,2,4,4,244,10,Loyal / Active
192,771,2,40093.0,2018-05-14,2018-05-18,1,4,5,145,10,At Risk
193,117,3,11459.0,2019-05-22,2020-03-02,5,5,4,554,14,Champions
195,443,4,1426.0,2018-01-24,2019-04-11,3,5,3,353,11,Loyal / Active
196,921,1,556.0,2017-12-19,2017-12-19,1,3,2,132,6,At Risk
199,831,1,222.0,2018-03-19,2018-03-19,1,3,1,131,5,At Risk
200,927,1,153.0,2017-12-13,2017-12-13,1,3,1,131,5,At Risk
201,225,1,28269.0,2019-11-15,2019-11-15,4,3,5,435,12,Low Engagement
202,530,2,3102.0,2018-03-13,2019-01-14,2,4,3,243,9,Loyal / Active
203,141,2,1032.0,2019-03-21,2020-02-07,5,4,2,542,11,Champions
204,107,1,181.0,2020-03-12,2020-03-12,5,3,1,531,9,Low Engagement
206,667,1,222.0,2018-08-30,2018-08-30,2,3,1,231,6,At Risk
207,908,1,60.0,2018-01-01,2018-01-01,1,3,1,131,5,At Risk
208,386,3,866.0,2017-12-01,2019-06-07,3,5,2,352,10,Loyal / Active
209,313,2,547.0,2018-09-18,2019-08-19,3,4,2,342,9,Loyal / Active
210,124,1,7759.0,2020-02-24,2020-02-24,5,3,4,534,12,Low Engagement
212,403,2,11556.0,2018-08-10,2019-05-21,3,4,4,344,11,Loyal / Active
213,639,1,199.0,2018-09-27,2018-09-27,2,3,1,231,6,At Risk
214,213,4,4676.0,2018-03-09,2019-11-27,4,5,4,454,13,Champions
215,295,4,41921.0,2018-05-23,2019-09-06,4,5,5,455,14,Champions
216,386,2,533.0,2018-10-17,2019-06-07,3,4,2,342,9,Loyal / Active
218,283,4,62658.0,2018-01-23,2019-09-18,4,5,5,455,14,Champions
219,45,4,2944.0,2017-12-08,2020-05-13,5,5,3,553,13,Champions
220,22,4,113524.0,2017-12-08,2020-06-05,5,5,5,555,15,Champions
221,256,2,1388.0,2018-11-05,2019-10-15,4,4,3,443,11,Champions
223,809,1,1593.0,2018-04-10,2018-04-10,1,3,3,133,7,At Risk
225,309,3,7129.0,2018-03-08,2019-08-23,3,5,4,354,12,Loyal / Active
226,627,1,8704.0,2018-10-09,2018-10-09,2,3,4,234,9,At Risk
227,87,2,47305.0,2018-12-05,2020-04-01,5,4,5,545,14,Champions
228,963,2,458.0,2017-10-11,2017-11-07,1,4,2,142,7,At Risk
229,409,3,3338.0,2017-11-09,2019-05-15,3,5,3,353,11,Loyal / Active
230,582,1,2190.0,2018-11-23,2018-11-23,2,3,3,233,8,At Risk
231,177,4,7323.0,2018-02-16,2020-01-02,4,5,4,454,13,Champions
232,879,1,144.0,2018-01-30,2018-01-30,1,3,1,131,5,At Risk
233,752,2,6037.0,2017-11-09,2018-06-06,1,4,4,144,9,At Risk
235,129,3,8671.0,2018-09-03,2020-02-19,5,5,4,554,14,Champions
237,635,2,11393.0,2018-09-04,2018-10-01,2,4,4,244,10,Loyal / Active
239,177,2,745.0,2019-07-15,2020-01-02,4,4,2,442,10,Champions
240,31,2,9060.0,2019-01-22,2020-05-27,5,4,4,544,13,Champions
241,344,2,1542.0,2018-10-30,2019-07-19,3,4,3,343,10,Loyal / Active
242,946,2,190.0,2017-10-31,2017-11-24,1,4,1,141,6,At Risk
243,312,3,12394.0,2018-11-12,2019-08-20,3,5,4,354,12,Loyal / Active
245,745,1,130.0,2018-06-13,2018-06-13,1,3,1,131,5,At Risk
246,512,1,773.0,2019-02-01,2019-02-01,2,3,2,232,7,At Risk
247,120,3,55588.0,2017-10-05,2020-02-28,5,5,5,555,15,Champions
248,571,1,699.0,2018-12-04,2018-12-04,2,3,2,232,7,At Risk
249,640,2,194.0,2018-02-08,2018-09-26,2,4,1,241,7,Loyal / Active
250,409,2,588.0,2018-09-07,2019-05-15,3,4,2,342,9,Loyal / Active
251,166,2,356.0,2019-04-30,2020-01-13,4,4,2,442,10,Champions
252,136,2,329.0,2018-06-19,2020-02-12,5,4,2,542,11,Champions
253,136,3,856.0,2018-10-16,2020-02-12,5,5,2,552,12,Champions
254,585,1,28269.0,2018-11-20,2018-11-20,2,3,5,235,10,At Risk
256,773,1,14574.0,2018-05-16,2018-05-16,1,3,5,135,9,At Risk
257,43,2,444.0,2017-10-16,2020-05-15,5,4,2,542,11,Champions
258,414,2,16102.0,2019-05-08,2019-05-10,3,4,5,345,12,Loyal / Active
259,929,1,1736.0,2017-12-11,2017-12-11,1,3,3,133,7,At Risk
260,145,5,38736.0,2019-02-11,2020-02-03,4,5,5,455,14,Champions
261,507,2,12755.0,2018-10-25,2019-02-06,2,4,5,245,11,Loyal / Active
262,450,1,97.0,2019-04-04,2019-04-04,3,3,1,331,7,Low Engagement
263,506,3,3644.0,2018-02-16,2019-02-07,2,5,4,254,11,Loyal / Active
264,507,1,171.0,2019-02-06,2019-02-06,2,3,1,231,6,At Risk
265,919,1,9542.0,2017-12-21,2017-12-21,1,3,4,134,8,At Risk
266,107,2,2005.0,2018-08-09,2020-03-12,5,4,3,543,12,Champions
267,127,4,3963.0,2017-12-07,2020-02-21,5,5,4,554,14,Champions
269,395,3,2991.0,2018-04-16,2019-05-29,3,5,3,353,11,Loyal / Active
272,191,1,444.0,2019-12-19,2019-12-19,4,3,2,432,9,Low Engagement
273,318,3,6672.0,2018-12-12,2019-08-14,3,5,4,354,12,Loyal / Active
278,82,2,129644.0,2017-12-12,2020-04-06,5,4,5,545,14,Champions
279,479,3,23120.0,2018-02-07,2019-03-06,2,5,5,255,12,Loyal / Active
280,942,1,449.0,2017-11-28,2017-11-28,1,3,2,132,6,At Risk
281,506,2,736.0,2018-04-06,2019-02-07,2,4,2,242,8,Loyal / Active
282,576,3,21700.0,2018-05-21,2018-11-29,2,5,5,255,12,Loyal / Active
285,813,2,1884.0,2017-12-22,2018-04-06,1,4,3,143,8,At Risk
286,390,1,93.0,2019-06-03,2019-06-03,3,3,1,331,7,Low Engagement
287,749,1,144.0,2018-06-09,2018-06-09,1,3,1,131,5,At Risk
288,570,3,21666.0,2018-03-19,2018-12-05,2,5,5,255,12,Loyal / Active
289,862,1,148.0,2018-02-16,2018-02-16,1,3,1,131,5,At Risk
291,127,2,1676.0,2018-02-07,2020-02-21,5,4,3,543,12,Champions
292,276,1,162.0,2019-09-25,2019-09-25,4,3,1,431,8,Low Engagement
293,46,1,231.0,2020-05-12,2020-05-12,5,3,1,531,9,Low Engagement
295,143,6,2037.0,2017-10-19,2020-02-05,4,5,3,453,12,Champions
297,52,4,34162.0,2018-12-21,2020-05-06,5,5,5,555,15,Champions
298,334,1,4417.0,2019-07-29,2019-07-29,3,3,4,334,10,Low Engagement
301,152,2,533.0,2018-09-03,2020-01-27,4,4,2,442,10,Champions
302,471,1,14787.0,2019-03-14,2019-03-14,3,3,5,335,11,Low Engagement
303,890,1,194.0,2018-01-19,2018-01-19,1,3,1,131,5,At Risk
305,934,1,12185.0,2017-12-06,2017-12-06,1,3,4,134,8,At Risk
306,347,1,4259.0,2019-07-16,2019-07-16,3,3,4,334,10,Low Engagement
308,369,2,2695.0,2017-12-07,2019-06-24,3,4,3,343,10,Loyal / Active
309,407,2,13713.0,2018-01-05,2019-05-17,3,4,5,345,12,Loyal / Active
310,463,3,6379.0,2018-07-06,2019-03-22,3,5,4,354,12,Loyal / Active
311,901,1,282.0,2018-01-08,2018-01-08,1,3,1,131,5,At Risk
312,662,1,287.0,2018-09-04,2018-09-04,2,3,1,231,6,At Risk
314,677,1,111.0,2018-08-20,2018-08-20,2,3,1,231,6,At Risk
315,169,2,1584.0,2017-10-06,2020-01-10,4,4,3,443,11,Champions
316,514,2,166.0,2018-12-21,2019-01-30,2,4,1,241,7,Loyal / Active
317,169,1,2380.0,2020-01-10,2020-01-10,4,3,3,433,10,Low Engagement
318,227,1,472.0,2019-11-13,2019-11-13,4,3,2,432,9,Low Engagement
319,82,2,115.0,2018-03-19,2020-04-06,5,4,1,541,10,Champions
320,480,1,2009.0,2019-03-05,2019-03-05,2,3,3,233,8,At Risk
322,122,3,10606.0,2019-04-08,2020-02-26,5,5,4,554,14,Champions
323,816,1,97.0,2018-04-03,2018-04-03,1,3,1,131,5,At Risk
324,163,2,727.0,2019-02-20,2020-01-16,4,4,2,442,10,Champions
325,362,2,195.0,2019-02-26,2019-07-01,3,4,1,341,8,Loyal / Active
326,955,1,116.0,2017-11-15,2017-11-15,1,3,1,131,5,At Risk
327,761,1,1102.0,2018-05-28,2018-05-28,1,3,3,133,7,At Risk
328,246,2,398.0,2018-10-26,2019-10-25,4,4,2,442,10,Champions
329,12,4,4968.0,2018-09-20,2020-06-15,5,5,4,554,14,Champions
330,554,1,199.0,2018-12-21,2018-12-21,2,3,1,231,6,At Risk
331,287,2,1046.0,2017-10-18,2019-09-14,4,4,3,443,11,Champions
332,655,1,4352.0,2018-09-11,2018-09-11,2,3,4,234,9,At Risk
333,211,3,8375.0,2018-06-22,2019-11-29,4,5,4,454,13,Champions
334,187,1,319.0,2019-12-23,2019-12-23,4,3,2,432,9,Low Engagement
335,339,2,8027.0,2017-11-06,2019-07-24,3,4,4,344,11,Loyal / Active
336,736,2,477.0,2018-04-03,2018-06-22,1,4,2,142,7,At Risk
337,211,4,699.0,2018-04-10,2019-11-29,4,5,2,452,11,Champions
338,316,1,1153.0,2019-08-16,2019-08-16,3,3,3,333,9,Low Engagement
340,712,1,486.0,2018-07-16,2018-07-16,1,3,2,132,6,At Risk
344,675,1,778.0,2018-08-22,2018-08-22,2,3,2,232,7,At Risk
345,246,2,519.0,2018-06-28,2019-10-25,4,4,2,442,10,Champions
347,54,2,2273.0,2018-07-17,2020-05-04,5,4,3,543,12,Champions
349,276,1,139.0,2019-09-25,2019-09-25,4,3,1,431,8,Low Engagement
350,122,2,4495.0,2018-03-02,2020-02-26,5,4,4,544,13,Champions
352,605,3,45417.0,2017-12-06,2018-10-31,2,5,5,255,12,Loyal / Active
353,291,1,579.0,2019-09-10,2019-09-10,4,3,2,432,9,Low Engagement
355,877,1,213.0,2018-02-01,2018-02-01,1,3,1,131,5,At Risk
356,296,1,287.0,2019-09-05,2019-09-05,4,3,1,431,8,Low Engagement
357,415,2,199.0,2018-08-03,2019-05-09,3,4,1,341,8,Loyal / Active
358,400,2,100634.0,2019-03-15,2019-05-24,3,4,5,345,12,Loyal / Active
359,15,3,880.0,2019-02-14,2020-06-12,5,5,2,552,12,Champions
360,211,1,83.0,2019-11-29,2019-11-29,4,3,1,431,8,Low Engagement
361,522,3,1115.0,2019-01-11,2019-01-22,2,5,3,253,10,Loyal / Active
362,376,1,194.0,2019-06-17,2019-06-17,3,3,1,331,7,Low Engagement
363,226,2,1241.0,2018-10-29,2019-11-14,4,4,3,443,11,Champions
365,625,1,171.0,2018-10-11,2018-10-11,2,3,1,231,6,At Risk
366,633,2,1754.0,2018-03-08,2018-10-03,2,4,3,243,9,Loyal / Active
367,304,1,7824.0,2019-08-28,2019-08-28,3,3,4,334,10,Low Engagement
368,925,1,56370.0,2017-12-15,2017-12-15,1,3,5,135,9,At Risk
370,32,3,254.0,2019-05-10,2020-05-26,5,5,1,551,11,Champions
372,498,2,667.0,2018-05-07,2019-02-15,2,4,2,242,8,Loyal / Active
373,522,2,41773.0,2018-11-05,2019-01-22,2,4,5,245,11,Loyal / Active
374,326,2,8171.0,2019-01-18,2019-08-06,3,4,4,344,11,Loyal / Active
376,772,1,1343.0,2018-05-17,2018-05-17,1,3,3,133,7,At Risk
377,110,3,6681.0,2017-12-28,2020-03-09,5,5,4,554,14,Champions
378,289,2,103672.0,2019-01-22,2019-09-12,4,4,5,445,13,Champions
380,243,2,792.0,2018-01-17,2019-10-28,4,4,2,442,10,Champions
381,796,1,292.0,2018-04-23,2018-04-23,1,3,1,131,5,At Risk
382,982,1,3269.0,2017-10-19,2017-10-19,1,3,3,133,7,At Risk
383,262,4,6434.0,2017-12-14,2019-10-09,4,5,4,454,13,Champions
384,138,3,861.0,2018-01-22,2020-02-10,5,5,2,552,12,Champions
385,218,3,54069.0,2018-01-15,2019-11-22,4,5,5,455,14,Champions
387,570,2,246.0,2018-09-14,2018-12-05,2,4,1,241,7,Loyal / Active
390,750,2,23949.0,2018-05-31,2018-06-08,1,4,5,145,10,At Risk
391,618,3,9500.0,2018-05-15,2018-10-18,2,5,4,254,11,Loyal / Active
394,814,1,514.0,2018-04-05,2018-04-05,1,3,2,132,6,At Risk
395,793,1,208.0,2018-04-26,2018-04-26,1,3,1,131,5,At Risk
396,54,2,435.0,2019-07-03,2020-05-04,5,4,2,542,11,Champions
397,36,3,3018.0,2017-12-08,2020-05-22,5,5,3,553,13,Champions
398,127,1,56.0,2020-02-21,2020-02-21,5,3,1,531,9,Low Engagement
399,108,4,7209.0,2018-06-14,2020-03-11,5,5,4,554,14,Champions
401,939,1,2065.0,2017-12-01,2017-12-01,1,3,3,133,7,At Risk
402,290,3,269.0,2019-01-24,2019-09-11,4,5,1,451,10,Champions
403,764,2,218.0,2017-11-23,2018-05-25,1,4,1,141,6,At Risk
404,463,1,46.0,2019-03-22,2019-03-22,3,3,1,331,7,Low Engagement
405,402,1,9750.0,2019-05-22,2019-05-22,3,3,4,334,10,Low Engagement
406,110,2,21264.0,2017-11-20,2020-03-09,5,4,5,545,14,Champions
408,376,1,0.0,2019-06-17,2019-06-17,3,3,1,331,7,Low Engagement
409,328,1,97.0,2019-08-04,2019-08-04,3,3,1,331,7,Low Engagement
410,348,4,2662.0,2018-01-11,2019-07-15,3,5,3,353,11,Loyal / Active
411,127,2,970334.0,2018-01-30,2020-02-21,5,4,5,545,14,Champions
412,779,1,194.0,2018-05-10,2018-05-10,1,3,1,131,5,At Risk
413,274,1,111.0,2019-09-27,2019-09-27,4,3,1,431,8,Low Engagement
415,873,1,491.0,2018-02-05,2018-02-05,1,3,2,132,6,At Risk
416,110,2,440.0,2018-02-22,2020-03-09,5,4,2,542,11,Champions
417,478,1,144.0,2019-03-07,2019-03-07,2,3,1,231,6,At Risk
419,8,1,116.0,2020-06-19,2020-06-19,5,3,1,531,9,Low Engagement
420,11,3,1689.0,2018-01-31,2020-06-16,5,5,3,553,13,Champions
421,449,1,296.0,2019-04-05,2019-04-05,3,3,1,331,7,Low Engagement
422,752,1,213.0,2018-06-06,2018-06-06,1,3,1,131,5,At Risk
423,222,3,10083.0,2018-02-05,2019-11-18,4,5,4,454,13,Champions
424,99,3,343.0,2017-11-29,2020-03-20,5,5,2,552,12,Champions
426,368,2,4273.0,2019-05-22,2019-06-25,3,4,4,344,11,Loyal / Active
427,638,1,204.0,2018-09-28,2018-09-28,2,3,1,231,6,At Risk
428,589,1,7213.0,2018-11-16,2018-11-16,2,3,4,234,9,At Risk
429,256,1,49486.0,2019-10-15,2019-10-15,4,3,5,435,12,Low Engagement
430,346,1,167.0,2019-07-17,2019-07-17,3,3,1,331,7,Low Engagement
431,855,2,1514.0,2018-02-12,2018-02-23,1,4,3,143,8,At Risk
432,789,2,319.0,2018-03-22,2018-04-30,1,4,2,142,7,At Risk
433,695,1,83.0,2018-08-02,2018-08-02,1,3,1,131,5,At Risk
434,472,3,14528.0,2017-10-30,2019-03-13,3,5,5,355,13,Loyal / Active
435,407,2,3046.0,2019-01-30,2019-05-17,3,4,3,343,10,Loyal / Active
436,948,1,2032.0,2017-11-22,2017-11-22,1,3,3,133,7,At Risk
438,640,1,83.0,2018-09-26,2018-09-26,2,3,1,231,6,At Risk
439,66,1,26894.0,2020-04-22,2020-04-22,5,3,5,535,13,Low Engagement
440,241,3,8773.0,2018-01-19,2019-10-30,4,5,4,454,13,Champions
441,355,1,46.0,2019-07-08,2019-07-08,3,3,1,331,7,Low Engagement
