city,orders,revenue,restaurants,aov,pct_revenue
Sivakasi,77,4002110.0,77,51975.454545454544,0.41505226842796483
"South Campus,Delhi",329,3919563.0,329,12134.869969040248,0.40649145435690653
Rae-bareli,72,3917259.0,72,55172.66197183099,0.4062525102932856
"Ganeshguri,Guwahati",427,3915363.0,427,9190.992957746479,0.40605587924093084
"Kothapet & Dilsukhnagar,Hyderabad",702,3879604.0,702,5574.14367816092,0.40234737196184167
"Whitefield,Bangalore",730,3870054.0,730,5666.2576866764275,0.4013569571148017
"Benz Circle and Auto Nagar,Vijayawada",554,3803077.0,554,7042.735185185185,0.3944108822236818
"Mayur Vihar,Delhi",675,3721796.0,675,5571.550898203593,0.3859813629375819
Tiruvannamalai,81,3602174.0,81,44471.28395061728,0.37357556138442866
Rajapalayam,65,3594896.0,65,55306.092307692306,0.37282077193345936
Sivasagar,70,3570004.0,70,51000.05714285714,0.3702392634127768
"Narhe,Pune",309,3537766.0,309,11449.080906148867,0.3668959132725806
Rishikesh,100,3464240.0,100,37654.782608695656,0.35927065232562144
Tumakuru,104,3431586.0,104,32996.019230769234,0.3558841595072715
Faridabad,634,3418017.0,634,5530.771844660194,0.3544769407575871
"Kadubeesanahalli,Bangalore",596,3272536.0,596,5537.285956006768,0.339389344698716
Deoghar,94,3272335.0,94,34812.074468085106,0.33936849931816576
Solan,91,3259548.0,91,36624.13483146067,0.3380423805067417
"Akota,Vadodara",353,3171971.0,353,9412.376854599406,0.328959913380122
"Paltan Bazaar,Guwahati",360,3145889.0,360,8738.580555555556,0.326254991909913
Srikakulam,60,3125295.0,60,52088.25,0.32411922192457887
"Arekere,Bangalore",677,3087271.0,677,4580.520771513353,0.3201758152079457
"Miyapur,Hyderabad",461,3083405.0,461,6929.0,0.31977487868452614
Dhar,88,2961148.0,88,33649.40909090909,0.30709580560027866
Sagar,116,2928358.0,116,27367.831775700935,0.30369520844483994
Ramanathapuram,47,2926183.0,47,62259.21276595745,0.30346964275978106
Agartala,165,2879205.0,165,17663.83435582822,0.29859763137923206
"Lajpat Nagar,Delhi",449,2864392.0,449,6723.924882629108,0.2970613994285302
Roorkee,99,2861348.0,99,29805.708333333332,0.2967457111778088
"Uttam Nagar,Delhi",528,2860267.0,528,5458.524809160305,0.29663360243962555
Rewari,99,2849331.0,99,32014.955056179777,0.2954994478043136
Gondal,454,2789203.0,454,6198.228888888889,0.2892636714773169
"Koramangala,Bangalore",954,2779971.0,954,2926.285263157895,0.28830623588905796
"Kharadi,Pune",543,2759674.0,543,5348.205426356589,0.286201267286925
"GTB Nagar,Delhi",684,2720433.0,684,4036.2507418397627,0.2821316474950198
Thiruvananthapuram,279,2688356.0,279,9920.132841328414,0.278804994400936
Rudrapur,99,2659136.0,99,28903.652173913044,0.27577463609407654
Sirsi,18,2615212.0,18,153836.0,0.27121935004785847
Erode,209,2599608.0,209,12743.176470588236,0.26960108478364786
"Nagavara & Hennur,Bangalore",279,2583936.0,279,9750.701886792453,0.26797576735089285
"Marathahalli,Bangalore",592,2579796.0,592,4447.924137931034,0.267546414736574
"Jasola,Delhi",403,2558579.0,403,6461.05808080808,0.2653460344423701
"Kothrud,Pune",1089,2550677.0,1089,2353.0230627306273,0.26452653097417017
"Magarpatta,Pune",714,2418034.0,714,3484.198847262248,0.2507703428531314
"Manikonda,Hyderabad",564,2410558.0,564,4281.6305506216695,0.24999501914669464
Adityapur,447,2406270.0,355,5431.76072234763,0.24955031769495564
"Shivaji Nagar,Pune",415,2392564.0,415,5951.651741293533,0.24812889089982165
Ratnagiri,91,2391344.0,91,28468.380952380954,0.24800236669946682
Raigarh,40,2362255.0,40,59056.375,0.2449855941878914
Sangli,130,2297044.0,130,18376.352,0.2382226682622032
Haldwani,163,2263112.0,163,13884.122699386504,0.23470363615856346
"sohna road,Gurgaon",976,2253891.0,976,2309.314549180328,0.23374734136227493
Sambalpur,96,2253424.0,96,26202.60465116279,0.23369890955771286
"Vadiwadi,Vadodara",276,2239185.0,276,8262.675276752767,0.23222220620619435
Gaya,105,2237908.0,105,21518.346153846152,0.23208977062926556
"Lingampally & Nalagandla,Hyderabad",402,2181008.0,402,5438.9226932668325,0.22618876489140446
Raiganj,31,2151403.0,31,69400.09677419355,0.22311847886558062
"Aundh,Pune",281,2149333.0,281,7648.871886120996,0.22290380255842118
Saharanpur,117,2130302.0,117,18686.859649122805,0.2209301287412466
"CV Raman Nagar,Bangalore",285,2124635.0,285,7454.859649122807,0.22034241345976224
Ramagundam,42,2107416.0,42,50176.57142857143,0.21855665919262288
Rampur,62,2077474.0,62,33507.645161290326,0.21545142344916002
"Sanjay Nagar, New BEL Road,Bangalore",527,2077292.0,527,4049.302144249513,0.21543254852746774
Aligarh,213,2046265.0,213,9933.325242718447,0.21221478921237785
"Kumaraswamy Layout & Uttarahalli,Bangalore",190,2040091.0,190,11087.451086956522,0.21157449379189358
"Mogappair,Chennai",414,2001567.0,414,4834.702898550725,0.20757923289478708
Rajkot,54,1994384.0,54,36933.03703703704,0.20683429573810772
Dewas,56,1992121.0,56,36220.38181818182,0.20659960371728556
"Hathibarkala,Dehradun",409,1982577.0,409,4944.082294264339,0.2056098111204113
"NIT_FBD,Gurgaon",204,1970069.0,204,9850.345,0.20431262694169133
Durgapur,135,1963175.0,135,14542.037037037036,0.20359766150132552
Aurangabad,430,1961444.0,430,4615.162352941176,0.20341814232852698
"Medavakkam,Chennai",392,1952098.0,392,4992.57800511509,0.20244888398712013
"Kondapur,Hyderabad",326,1949392.0,326,6035.269349845201,0.20216824916239864
Ropar,64,1945566.0,64,30882.0,0.20177146097341697
"Gachibowli,Hyderabad",428,1938059.0,428,4603.4655581947745,0.20099292230779092
"Rajarajeshwari Nagar,Bangalore",503,1933394.0,503,3874.5370741482966,0.20050912280397507
Shahjahanpur,99,1893819.0,99,19934.936842105264,0.1964048644195137
Shillong,97,1891029.0,97,20780.53846153846,0.1961155180924727
Ratlam,95,1882057.0,95,21387.011363636364,0.1951850466780599
"Sector 15_FBD,Gurgaon",378,1874192.0,378,4971.331564986737,0.19436938041921495
Satna,99,1866710.0,99,19858.617021276597,0.19359343446261254
Satara,93,1852419.0,93,20356.252747252747,0.1921113382763248
Rourkela,98,1846618.0,98,19644.872340425532,0.1915097260744736
"HSR,Bangalore",898,1816707.0,898,2048.1476888387824,0.1884077052902001
Bhilai,196,1799470.0,196,9180.969387755102,0.18662008427256369
Thrissur,209,1762240.0,209,8900.20202020202,0.18275902199452207
"Chukkuwala,Dehradun",364,1748524.0,364,4981.549857549858,0.18133655811577862
"Madipakkam,Chennai",398,1727055.0,398,4350.264483627204,0.17911004331461625
"Banjara Hills,Hyderabad",702,1721594.0,702,2459.42,0.17854369195548692
Dharmapuri,82,1716613.0,82,20934.30487804878,0.17802712060961193
Amritsar,441,1678426.0,441,3867.3410138248846,0.17406680943014444
Guntur,260,1642197.0,260,6365.104651162791,0.17030955922141036
"Banashankari,Bangalore",360,1608696.0,360,4481.047353760446,0.16683522542133858
Rewa,111,1578095.0,111,15624.70297029703,0.1636616458680119
Vellore,197,1567727.0,197,8122.937823834197,0.16258639758171767
Bhubaneswar,462,1556229.0,462,3383.1065217391306,0.16139395884755375
"Tambaram,Chennai",370,1556226.0,370,4383.735211267605,0.1613936477224709
Sangrur,78,1554805.0,78,20192.272727272728,0.16124627814156578
Bhopal,534,1551092.0,534,2921.077212806026,0.1608612089973711
"Yelahanka,Bangalore",507,1542945.0,507,3092.074148296593,0.16001629698073921
Shivamogga,99,1534836.0,99,16866.32967032967,0.1591753258818233
Thanjavur,160,1513773.0,160,9829.694805194806,0.15699091667520523
Rajnandgaon,37,1482193.0,37,40059.27027027027,0.15371580663651185
"Kirti Nagar,Delhi",380,1475230.0,380,4041.72602739726,0.15299368531924074
"Geddalahalli,Bangalore",323,1458905.0,323,4530.760869565217,0.15130064632678764
"Perambur,Chennai",491,1445594.0,491,3005.3929313929316,0.14992018433422755
"Greater Mohali,Chandigarh",480,1438133.0,480,3014.9538784067086,0.14914641625320502
"Ambattur,Chennai",300,1426298.0,300,4770.227424749164,0.14791902780140212
Sikar,111,1422376.0,111,13418.641509433963,0.1475122836097696
"T Nagar,Chennai",375,1410041.0,375,3760.1093333333333,0.14623304097749337
"MVP Colony,Vizag",222,1406464.0,222,6364.090497737557,0.1458620761703874
"Annanagar,Chennai",548,1405893.0,548,2574.8956043956046,0.1458028586962869
"Vadapalani,Chennai",429,1394196.0,429,3249.874125874126,0.14458978199829461
"Vanasthalipuram,Hyderabad",404,1367340.0,404,3506.0,0.14180459025671294
Habra,82,1364426.0,82,16639.341463414636,0.14150238409291457
"JP Nagar,Bangalore",470,1361317.0,470,2902.594882729211,0.14117995479873163
"Kalyani Nagar,Pune",206,1360409.0,206,6668.671568627451,0.1410857876069921
Gondia,92,1344284.0,92,14772.351648351649,0.13941349028672834
Alappuzha,94,1341682.0,94,14273.212765957447,0.1391436411315453
"Zirakpur,Chandigarh",609,1301474.0,609,2144.1087314662273,0.13497373535460472
Eluru,93,1244198.0,93,13378.47311827957,0.12903373527302772
Barnala,74,1237349.0,74,16949.986301369863,0.12832343670890453
"Basaveshwaranagar,Bangalore",253,1225252.0,253,4980.69918699187,0.1270688766665336
"Central Bangalore,Bangalore",532,1201160.0,532,2314.373795761079,0.1245703348346083
Ajmer,217,1191228.0,217,5489.529953917051,0.12354030339368675
"Velachery,Chennai",428,1191027.0,428,2835.7785714285715,0.12351945801313649
Thoothukudi,118,1183497.0,118,10662.135135135135,0.12273853405520865
"Porur,Chennai",496,1165491.0,496,2373.7087576374747,0.12087116130800432
"Begumpet,Hyderabad",274,1155772.0,274,4249.161764705882,0.11986321974796439
Purulia,50,1153013.0,50,23060.26,0.11957708838011274
Bhagalpur,134,1138531.0,134,8496.5,0.1180751838968842
"Adyar,Chennai",421,1131741.0,421,2707.5143540669856,0.11737100412605685
Ramanagara,14,1128548.0,14,80610.57142857143,0.11703986332955438
"Laxmi Nagar,Delhi",933,1119265.0,933,1202.218045112782,0.11607713861488717
"Greater Kailash 2,Delhi",1038,1105453.0,1038,1067.0395752895754,0.11464471873349284
"N A D,Vizag",177,1104935.0,177,6424.040697674419,0.1145909978025225
Bhilwara,91,1102800.0,91,12253.333333333334,0.11436958045190153
Central-goa,404,1097016.0,404,2735.700748129676,0.11376973129218644
Ujjain,112,1087194.0,112,10066.611111111111,0.11275110777096901
"Mahadevpura,Bangalore",364,1079271.0,364,3014.723463687151,0.11192942642718917
Dumka,49,1075724.0,49,21953.551020408162,0.1115615728709116
"Jubilee Hills,Hyderabad",293,1062397.0,293,3650.848797250859,0.11017945154457638
"Gajuwaka,Vizag",190,1058051.0,190,5627.93085106383,0.10972873500790249
Silchar,67,1049176.0,67,16141.16923076923,0.10880832330450149
Belgaum,191,1048218.0,191,5546.126984126984,0.10870897069471465
"Hopes,Coimbatore",259,1047442.0,259,4044.1776061776063,0.1086284930066201
"Frazer Town,Bangalore",212,1047204.0,212,5034.634615384615,0.10860381041671481
"Vashi,Mumbai",1022,1042015.0,1022,1020.5827619980412,0.10806566773176295
"Vijay Nagar,Indore",588,1027346.0,588,1753.1501706484642,0.10654436978503738
Dharamshala,38,1026481.0,38,27012.657894736843,0.10645466205281859
"Karappakam,Chennai",255,1015940.0,255,3999.763779527559,0.10536147222008056
"Chrompet,Chennai",387,1013915.0,387,2619.9354005167957,0.10515146278916371
Bhiwadi,96,1004235.0,96,10460.78125,0.1041475658552007
"Paldi & Ambawadi,Ahmedabad",176,1002241.0,176,5826.982558139535,0.1039407713834732
Abohar,67,981300.0,61,14868.181818181818,0.10176901459689061
Rajsamand,30,960447.0,30,32014.9,0.09960638414607133
Anand,195,941548.0,195,4828.451282051282,0.0976463998325417
"R.T. Nagar,Bangalore",246,916873.0,246,3788.7314049586776,0.09508739602618455
Fatehpur,49,909637.0,49,18564.020408163266,0.094336962326375
"Urapakkam,Chennai",360,909241.0,360,2532.7047353760445,0.09429589381544015
Pusad,38,905715.0,38,23834.605263157893,0.09393021813474246
Bhavnagar,115,905404.0,115,7873.078260869565,0.09389796483448808
"Bhawar Kuan,Indore",348,899936.0,348,2608.510144927536,0.09333088751683212
"Naranpura,Ahmedabad",209,896024.0,209,4349.631067961165,0.09292518040880905
Anantapur,166,890355.0,166,5462.300613496933,0.09233725771060282
"OMR Perungudi,Chennai",356,889423.0,356,2498.379213483146,0.0922406015182006
"Kanakapura Road,Bangalore",187,880104.0,187,4731.741935483871,0.0912741433025393
"Kadugodi,Bangalore",213,879186.0,213,4127.633802816901,0.09117893902719033
Cuttack,220,878281.0,220,3992.1863636363637,0.09108508296053366
"Yeshwanthpur,Bangalore",235,864909.0,235,3680.463829787234,0.08969829475795583
"Bandra West,Mumbai",796,858825.0,796,1083.0075662042875,0.08906733308995678
"Battarahalli,Bangalore",261,854919.0,261,3503.7663934426228,0.08866224823209938
Siddipet,48,848541.0,48,18856.466666666667,0.08800079630598202
"Ameerpet,Hyderabad",185,847541.0,185,4581.302702702703,0.08789708794503544
Yamuna-nagar,178,832350.0,178,4702.542372881356,0.08632165423389575
Samastipur,43,823309.0,43,19602.595238095237,0.08538402694257761
"Iyyapanthangal,Chennai",164,816315.0,164,5008.067484662577,0.08465869066611716
"South Chd,Chandigarh",643,809458.0,643,1260.8380062305296,0.08394756243510637
Valsad,93,801235.0,93,8709.076086956522,0.08309476858304254
Berhampur,106,786611.0,106,7563.567307692308,0.08157813751255959
Bhimavaram,86,770054.0,86,8954.116279069767,0.07986103818036687
Duliajan,52,758369.0,52,14584.01923076923,0.07864920598270594
Puttur,11,754855.0,11,68623.18181818182,0.07828477480233961
"Nungambakkam,Chennai",289,753573.0,289,2681.7544483985766,0.07815182068360609
Purnea,97,750558.0,97,7737.711340206186,0.0778391399753521
Thiruvallur,85,746190.0,85,9099.878048780487,0.0773861418547374
Bharuch,86,735651.0,86,8554.081395348838,0.07629315943872127
Tezpur,74,732677.0,74,10176.069444444445,0.0759847307732661
"Powai,Mumbai",759,721770.0,759,954.7222222222222,0.07485358368042162
"Mahindra World City,Chennai",159,711682.0,159,4475.987421383647,0.0738073737351924
"Saravanampatti,Coimbatore",188,705443.0,188,3752.3563829787236,0.07316033727124661
Bardoli,44,702468.0,44,15965.181818181818,0.07285180489743051
Raniganj,23,697726.0,23,31714.81818181818,0.07236001984982177
Gandhidham,114,697237.0,114,6170.238938053098,0.07230930646131889
"Attapur,Hyderabad",386,689279.0,386,1785.69689119171,0.0714839953249059
Davanagere,106,661343.0,106,6613.43,0.06858679855350192
"Ramanathapuram,Coimbatore",147,641548.0,147,4364.272108843537,0.06653389154856414
"Nizampet & Pragathi Nagar,Hyderabad",435,637113.0,435,1527.8489208633093,0.06607394496776599
"George Town,Chennai",248,636755.0,248,2567.560483870968,0.06603681737454711
Bharatpur,95,627543.0,95,6675.989361702128,0.06508145595350712
"Villivakkam,Chennai",176,625171.0,176,3572.405714285714,0.06483545972134179
Ambala,144,624613.0,144,4429.879432624113,0.06477759045593359
Barmer,27,620512.0,27,22981.925925925927,0.06435228246769162
"Guindy,Chennai",176,608076.0,176,3454.9772727272725,0.06306256529095981
"Ashok Vihar,Delhi",531,602460.0,531,1134.5762711864406,0.062480139135883746
"Purasawalkam,Chennai",199,596890.0,199,3014.59595959596,0.061902483565411226
Alwar,150,595627.0,150,4051.8843537414964,0.06177149990553568
Dhule,72,581919.0,72,8082.208333333333,0.060349865693679804
Bahadurgarh,146,575405.0,146,3968.310344827586,0.0596743094304737
Patna,743,569240.0,743,767.1698113207547,0.059034947385237964
"Scruz Bandra East,Mumbai",469,567161.0,469,1214.4775160599572,0.05881933770283
"Majestic,Bangalore",154,565180.0,154,3693.9869281045753,0.0586138914397948
Giridih,30,563614.0,30,19434.96551724138,0.058451484146552435
Shivpuri,39,536788.0,39,15336.8,0.055669403655799164
Tadepalligudem,45,536270.0,45,11917.111111111111,0.05561568272482883
Asansol,124,534352.0,124,4309.290322580645,0.05541677008853327
Amravati,136,529104.0,136,3890.470588235294,0.05487250861028555
"Mulund,Mumbai",498,526807.0,498,1057.8453815261043,0.05463429050519123
Berhampore,61,525544.0,61,8615.475409836066,0.05450330684531569
Haridwar,130,520398.0,130,4003.0615384615385,0.05396962361988452
"Sai Baba Colony,Coimbatore",174,518983.0,174,2982.6609195402298,0.053822876289145095
Kanpur,632,515605.0,632,815.8306962025316,0.05347254944586751
Firozabad,73,508877.0,73,6970.917808219178,0.05277479959341884
Tinsukia,49,508457.0,49,11299.044444444444,0.05273124208182127
Firozpur,116,505454.0,116,4357.362068965517,0.052419805873898655
"Himayath Nagar,Hyderabad",460,502700.0,460,1158.294930875576,0.05213419304785174
"Jayanagar,Bangalore",350,498440.0,350,1424.1142857142856,0.05169239543021926
Bathinda,173,497071.0,173,2873.242774566474,0.051550418684083374
Bharabanki,66,487777.0,66,7390.560606060606,0.05058655317744575
"Peelamedu,Coimbatore",142,485674.0,142,3420.239436619718,0.05036845449437507
"South Extension,Delhi",378,483780.0,378,1290.08,0.05017203085874222
"Arumbakkam,Chennai",204,482872.0,204,2367.0196078431372,0.05007786366700272
Silvassa,32,478818.0,32,14963.0625,0.04965742997172523
Bilaspur,159,478345.0,159,3046.7834394904457,0.049608375916997495
Daman,99,474525.0,99,5214.56043956044,0.049212209978181515
Fatehabad,42,467756.0,42,11408.682926829268,0.048510208082934034
Virudhunagar,84,462835.0,84,5576.325301204819,0.04799985923871585
Hisar,219,451877.0,219,2063.365296803653,0.0468634230194631
Suratgarh,36,449909.0,36,12854.542857142857,0.04665932496512021
Betul,38,447751.0,38,11782.921052631578,0.04643552232219746
Bokaro,150,446474.0,150,2976.4933333333333,0.046303086745268666
Gudivada,45,445542.0,45,9900.933333333332,0.04620643055286644
Tohana,17,442652.0,17,26038.352941176472,0.04590671338973079
"Panchkula,Chandigarh",330,440960.0,330,1340.303951367781,0.045731238843009156
Halol,99,440584.0,99,4450.343434343435,0.04569224449929324
Vizianagaram,74,439900.0,74,5944.594594594595,0.04562130798040577
Ahmednagar,94,422894.0,94,4547.247311827957,0.04385764359414803
Vidisha,57,420555.0,57,7509.910714285715,0.04361506973789395
Veraval,56,419159.0,56,7621.072727272727,0.043470292866012505
Bettiah,34,416910.0,34,13448.709677419354,0.04323705276224362
"KK Nagar,Chennai",124,416046.0,124,3382.487804878049,0.04314744873838577
"OMR Navalur,Chennai",272,414200.0,272,1528.4132841328412,0.04295600310407836
"Kamothe,Mumbai",275,413967.0,275,1516.3626373626373,0.042931839055977805
"Greenfields_FBD,Gurgaon",320,410236.0,320,1349.4605263157894,0.04254490316128607
"Hadapsar,Pune",498,409099.0,498,821.4839357429719,0.042426986754889796
Hassan,88,402994.0,88,4579.477272727273,0.04179384721131085
Guna,40,400015.0,40,10000.375,0.04148490000405095
"Kukatpally,Hyderabad",1009,398560.0,1009,395.7894736842105,0.04133400433887366
"Pimple Saudagar,Pune",454,397775.0,454,880.0331858407079,0.04125259327553059
"Tolichowki,Hyderabad",245,394069.0,245,1608.4448979591837,0.040868250089862515
Bhandara,32,390378.0,32,12199.3125,0.04048546252960865
Gonda,51,389149.0,51,7630.3725490196075,0.04035800495400529
"Race Course,Coimbatore",85,388909.0,85,4629.869047619048,0.0403331149473781
"Abids & Koti,Hyderabad",104,387914.0,104,3729.9423076923076,0.04022992512823624
"Kilpauk,Chennai",133,382934.0,133,2879.2030075187968,0.039713457490722213
"North Mohali,Chandigarh",504,382780.0,504,760.9940357852882,0.03969748640313644
Noida-1,1428,378329.0,1428,265.3078541374474,0.03923588048856316
"Gandhipuram,Coimbatore",151,377972.0,151,2503.1258278145697,0.03919885660370523
Thiruvarur,35,375490.0,35,10728.285714285714,0.038941452451835785
Akola,100,367669.0,100,3751.7244897959185,0.03813034936087249
"Coi_Ganapathy,Coimbatore",129,364326.0,129,2824.232558139535,0.03778365231022803
Bardhaman,95,361276.0,95,3884.6881720430106,0.03746734180934093
Saharsa,32,359644.0,32,11988.133333333333,0.03729808976427609
"Vasai,Mumbai",449,351829.0,449,783.5835189309577,0.03648760892347848
"Avadi,Chennai",150,346095.0,150,2354.387755102041,0.035892945181810715
Darbhanga,91,346094.0,91,4120.166666666667,0.035892841473449774
"Padur,Chennai",140,340761.0,140,2562.1127819548874,0.035339764784521596
Wardha,97,340191.0,97,3507.1237113402062,0.03528065101878204
"Aliganj,Lucknow",786,338621.0,786,431.3643312101911,0.03511782889209589
Ranaghat-wb,19,335514.0,19,17658.63157894737,0.03479560701463483
Cuddalore,77,335151.0,77,4352.61038961039,0.034757960879611215
"Panampilly Nagar,Kochi",237,331322.0,237,1409.8808510638298,0.03436086156554671
Faridkot,53,322337.0,53,6446.74,0.03342904194244159
"Mysore South,Mysore",314,322225.0,314,1036.0932475884244,0.03341742660601557
Balasore,97,320622.0,97,3305.381443298969,0.03325118210341818
Sangamner,12,318631.0,12,28966.454545454544,0.033044698756773516
Aizawl,30,314360.0,30,10478.666666666666,0.032601760347170626
"Central Kolkata,Kolkata",790,309677.0,790,392.99111675126903,0.03211609409285773
"Vasant Kunj,Delhi",455,308504.0,455,678.0307692307692,0.03199444418546738
"Shantinagar,Bangalore",85,303999.0,85,3576.458823529412,0.031527238019402985
Bhiwani,89,303271.0,89,3407.5393258426966,0.031451738332633865
"Gomti Nagar,Lucknow",921,301582.0,921,327.80652173913046,0.03127657491099507
Shimla,22,301221.0,22,14343.857142857143,0.031239136192693355
"Raj Nagar,Noida",852,298543.0,852,350.4025821596244,0.03096140520207838
Guntakal,26,292734.0,26,11259.0,0.03035896333333963
"Airoli,Mumbai",357,292589.0,357,821.879213483146,0.030343925621002372
Chittoor,65,290594.0,65,4470.676923076923,0.03013702744091392
"Mysore North,Mysore",342,290476.0,342,859.396449704142,0.030124789854322223
Dhoraji,19,285827.0,19,15043.526315789473,0.029642649684281517
Ballari,95,284092.0,95,2990.442105263158,0.02946271567803918
Chhatarpur,54,281804.0,54,5218.592592592592,0.029225430948193378
Gopalganj,30,278317.0,30,9277.233333333334,0.028863799893572614
"Salt Lake,Kolkata",641,276174.0,641,432.87460815047024,0.028641552876064066
"Royapettah,Chennai",230,272706.0,230,1217.4375,0.028281892280301285
Shrirampur,18,264100.0,18,15535.29411764706,0.027389378125994915
"Fort Colaba,Mumbai",303,263562.0,303,869.8415841584158,0.02733358302780565
"Kompally,Hyderabad",211,263511.0,211,1285.419512195122,0.027328293901397373
Etawah,72,262827.0,72,3650.375,0.027257357382509905
Ambikapur,75,260983.0,75,3624.7638888888887,0.02706611916492439
"Matunga Wadala,Mumbai",315,257998.0,315,819.0412698412698,0.026756549707498814
Faizabad,106,256584.0,106,2443.657142857143,0.026609906085120334
"Dharampeth,Nagpur",320,256372.0,320,803.6739811912225,0.026587919912599654
Gauriganj,23,254567.0,23,11068.130434782608,0.026400726321091056
Rayachoty,16,254149.0,16,18153.5,0.02635737622621538
Sindhanur,15,251663.0,15,17975.928571428572,0.026099557240902155
Bijapur,63,251130.0,63,3986.190476190476,0.02604428068451762
"South Mohali,Chandigarh",269,250757.0,269,932.182156133829,0.02600559746588454
Theni,35,250646.0,35,7161.314285714286,0.02599408583781947
Pondicherry,320,250153.0,320,781.728125,0.0259429576158728
Srivilliputhur,7,249524.0,7,35646.28571428572,0.025877725056837393
Chhindwara,79,248752.0,79,3148.759493670886,0.025797662202186624
"Nanakramguda,Hyderabad",194,247793.0,194,1277.2835051546392,0.025698205884038844
"East Chd,Chandigarh",289,244358.0,289,845.5294117647059,0.0253419676641873
